run_tag,epoch,train_loss,train_auc,val_loss,val_auc,lr,epoch_seconds
v3,1,2.283625,0.570441,1.788229,0.605599,0.0003,478.8
v3,2,1.236406,0.661205,0.992091,0.665304,0.0002948888739433602,465.1
v3,3,0.889127,0.724619,0.778472,0.721026,0.0002799038105676658,458.8
v3,4,0.774394,0.760287,0.948838,0.710495,0.00025606601717798207,456.3
v3,5,0.721085,0.788877,0.813247,0.747838,0.00022499999999999997,463.9
v3,6,0.563904,0.843255,0.719083,0.739692,0.0001888228567653781,466.7
v3,7,0.499605,0.869307,0.725454,0.734879,0.00015,464.7
v3,8,0.440544,0.894035,0.770565,0.744261,0.0001111771432346219,468.8
v3,9,0.352609,0.925203,0.756829,0.747625,7.500000000000003e-05,462.3
v3,10,0.341556,0.929358,0.779475,0.740502,4.393398282201788e-05,460.7
v3,11,0.315108,0.940061,0.796374,0.747924,2.0096189432334194e-05,462.9
v3,12,0.309629,0.940974,0.785868,0.749031,5.1111260566397705e-06,457.7
